id,addr:city,amenity,name,name:uk,fixme:name:uk
way/660915352,Opole Lubelskie,school,Liceum Ogólnokształcące im. Adama Mickiewicza,Загальноосвітній ліцей ім. Адама Міцкевича,
way/752098231,,school,LIceum Ogólnokształcące im. Bartosza Głowackiego,Загальноосвітній ліцей ім. Бартоша Гловацького,
node/362756220,Michów,school,Liceum Ogólnokształcące im. Bohaterów Westerplatte,Загальноосвітній ліцей ім. Героїв Вестерплатте,
node/7485006406,Lublin,school,Liceum Ogólnokształcące im. Kazimierza Wielkiego,Загальноосвітній ліцей ім. Казимира Великого,
way/304010166,Jedlicze,school,Liceum Ogólnokształcące im. Marii Konopnickiej,Загальноосвітній ліцей ім. Марії Конопницької,
way/295954527,Tarnobrzeg,school,Liceum Ogólnokształcące im. Mikołaja Kopernika,Загальноосвітній ліцей ім. Миколая Коперника,
node/824166063,,school,Liceum Ogólnokształcące im. Romualda Traugutta,Загальноосвітній ліцей ім. Ромуальда Траугутта,
way/844761155,,school,Liceum Ogólnokształcące im św Jana,Загальноосвітній ліцей ім. св. Яна,
way/344071162,Pilzno,school,Liceum Ogólnokształcące im. Sebastiana Petrycego,Загальноосвітній ліцей ім. Себастіана Петрицего,
way/706146768,,school,Liceum Ogólnokształcące im. Stefana Czarnieckiego w Nisku,Загальноосвітній ліцей ім. Стефана Чарнецького в Ніску,
way/421034551,Ropczyce,school,Liceum Ogólnokształcące im. Tadeusza Kościuszki,Загальноосвітній ліцей ім. Тадеуша Костюшки,
way/233060008,Lubaczów,school,Liceum Ogólnokształcące im. Tadeusza Kościuszki,Загальноосвітній ліцей ім. Тадеуша Костюшки,
way/359860303,,school,Liceum Ogólnokształcące im. Jana III Sobieskiego w Sobieszynie,Загальноосвітній ліцей ім. Яна III Собеського в Собешині,
node/9269609103,,school,Liceum Ogólnokształcące Mistrzostwa Sportowego Resovia,Загальноосвітній ліцей Спортивного Чемпіонату Resovia,
way/287872384,Tarnobrzeg,school,Liceum Ogólnokształcące Mistrzostwa Sportowego SIARKA w Tarnobrzegu,Загальноосвітній ліцей Спортивного Чемпіонату SIARKA в Тарнобжегу,
way/334280834,,school,Zespół Szkół Ogólnokształcących nr 2 im. Markiana Szaszkiewicza,Загальноосвітня школа №2 ім. Маркіяна Шашкевіча,
node/3203801647,,school,Internat,Інтернат,
way/1000019653,Przemyśl,school,Internat SOSW nr.1 w Przemyślu,інтернат при Спеціальному навчально-виховному центрі,
way/240256377,,school,Baśniowa Kraina,Казкова Країна,
node/2297936085,,school,Kampus KPU,Кампус Карпатського Державного Університету,
node/562754001,Krosno,school,KPU,Карпатський Державний Університет,
node/9270095880,,school,Katolicka Szkoła Podstawowa,Католицька Початкова Школа,
node/9404311544,Krosno,school,Katolicka Szkoła Podstawowa im. ks. Bronisława Markiewicza w Krośnie,Католицька Початкова Школа ім. отця Броніслава Маркевича в Кросно,
node/4720494290,,school,Katolicka Szkoła Podstawowa im. św. Ojca Pio,Католицька Початкова Школа ім. св. Отця Піо,
way/741178681,,school,Katolicka Szkoła Podstawowa im. św. Teresy w Holeszowie,Католицька Початкова Школа ім. св. Терези в Голешові,
node/9349299033,,school,Katolicka Szkoła Podstawowa Księży Michalitów im. ks. Bronisława Markiewicza,Католицька Початкова Школа Священиків Міхалітів ім. о. Броніслава Маркевича,
way/995654926,,school,Szkoła Katolicka Zgromadzenia św. Michała Archanioła,Католицька школа Конгрегації св. Архангела Михаїла,
node/9270095881,,school,Katolickie Liceum Ogólnokształcące im. bł. ks. J. Popiełuszki,Католицький Загальноосвітній ліцей ім. бл. о. Є. Попелушкі,
node/9349299032,,school,Katolickie Liceum Ogólnokształcące im. ks. Bronisława Markiewicza,Католицький Загальноосвітній ліцей ім. о. Броніслава Маркевича,
way/297723047,Biała Podlaska,school,Katolickie Liceum Ogólnokształcące im. Cypriana Norwida,Католицький Загальноосвітній ліцей ім. Ципріана Норвіда,
node/9271824886,,school,Katolickie Liceum Ogólnokształcące imienia Papieża Jana Pawła II,Католицький Загальноосвітній ліцей імені Папи Івана Павла ІІ,
node/3665202930,Przemyśl,school,Nauczycielskie Kolegium Języków Obcych,Колегія вчителів іноземних мов,
way/875778973,,school,Dawna Szkoła Podstawowa w Górce,Колишня початкова школа в Гурці,
way/408061019,,school,Zespół Szkół Elektronicznych i Ogólnokształcących w Przemyślu,Комплекс Загальноосвітніх і Електричних шкіл в Перемишлі,
node/8365503307,,school,Liceum w Turobinie,Ліцей в Туробіні,
node/8365503306,,school,Liceum dla dorosłych,Ліцей для дорослих,
way/207095404,Szczebrzeszyn,school,Liceum im. Zamoyskich,Ліцей ім. Замойських,
node/2365992373,Lublin,school,Lubelskie Centrum Kształcenia Zawodowego i Ustawicznego,Люблінський Центр професійно-технічної та неперервної освіти,
node/1947801809,,school,Medyczna Szkoła Policealna,Медична поліцеальна школа,
way/239751033,Sanok,school,Medyczne Studium Policealne,Медичний поліцеальний студіум,
way/300052242,,school,Medyczne Studium Zawodowe im. Władysławy Szoc,Медичний професійний студіум ім. Владислави Шоц,
way/146020946,Zamość,school,Medyczne Studium Zawodowe im. Stanisławy Leszczyńskiej,Медичний професійний студіум ім. Станіслави Лещинської,
way/584361573,Mielec,school,Medyczno-Społeczne Centrum Kształcenia Zawodowego i Ustawicznego,Медично-соціальний центр професійно-технічної та неперервної освіти,
node/6925731203,,school,Międzynarodowa Szkoła Podstawowa Paderewski w Lublinie,Міжнародна початкова школа Падеревскі в Любліні,
way/718803307,,school,Miejski Zespół Szkół nr 3,Міський шкільний комплекс №3,
way/280612074,,school,Miejski Zespół Szkół nr 3,Міський шкільний комплекс №3,
way/712670340,,school,Miejski Zespół Szkół nr 4,Міський шкільний комплекс №4,
way/712670416,,school,Miejski Zespół Szkół nr 7,Міський шкільний комплекс №7,
way/353644811,,school,Miejski Zespół Szkół w Strzyżowie,Міський шкільний комплекс у Стшижові,
way/428464293,,school,Michalicki Zespół Szkół Ponadpodstawowych im. Błogosławionego Księdza Bronisława Markiewicza,Міхаліцький комплекс загальноосвітніх шкіл ім. Благословенного Отця Броніслава Маркевича,
node/3239650047,Rzeszów,school,Szkoła Języków ARTCOM,Мовна школа ARTCOM,
node/2491876247,,school,Szkoła Językowa Oliver,Мовна школа Oliver,
node/2491908015,,school,Szkoła językowa Promar,Мовна школа PROMAR,
way/179609575,Strzyżów,school,Promesa Kursy Językowe,Мовні курси Promesa,
way/293091625,,school,Młodzieżowy Ośrodek Wychowawczy,Молодіжний виховний центр,
way/311132011,,school,Młodzieżowy Ośrodek Wychowawczy,Молодіжний виховний центр,
way/241509643,,school,Szkoła Muzyczna,Музична школа,
way/262583092,,school,Szkoła muzyczna I stopnia,Музична школа І ступеня,
node/5188861721,,school,Szkoła Muzyczna I stopnia w Ropczycach,Музична школа І ступеня в Ропчицях,
way/146275862,Zamość,school,Ośrodek Szkolenia i Wychowania,Навчально-виховний центр,
way/373440825,Iwonicz,school,Ośrodek Szkolenia i Wychowania w Iwoniczu,Навчально-виховний центр,
way/421100451,,school,Ośrodek Szkoleniowo-Wychowawczy,Навчально-виховний центр,
way/297817432,Jarosław,school,Ośrodek Szkolno-Wychowawczy im. Jana Pawła II,Навчально-виховний центр ім. Яна Павла ІІ,
way/445492776,,school,Krajowa Szkoła Sądownictwa i Prokuratury,Національна школа судочинства та прокуратури,
node/7020679873,,school,ECK Eureka Niepubliczna Placówka Kształcenia Ustawicznego w Lublinie,Недержавний заклад безперервної освіти ECK Eureka у Любліні,
way/231214823,,school,ORLIK,ОРЛІК,
node/9251465902,,school,Pierwsza Społeczna Szkoła Podstawowa,Перша соціальна початкова школа,
node/9251465901,,school,Pierwsze Społeczne Liceum Ogólnokształcące,Перший соціальний загальноосвітній ліцей,
way/479758445,,school,Powiatowe Centrum Edukacji Zawodowej im. Zygmunta Puławskiego,Повітовий центр професійної освіти ім. Зигмунта Пулавського,
node/481917077,Drzewce-Kolonia,school,Szkoła Podstawowa,Початкова школа,
node/481917246,Zaborze,school,Szkoła Podstawowa,Початкова школа,
node/481917270,Uciąż,school,Szkoła Podstawowa,Початкова школа,
node/481917302,Płouszowice,school,Szkoła Podstawowa,Початкова школа,
node/568942584,,school,Szkoła Podstawowa,Початкова школа,
node/666246116,,school,Szkoła Podstawowa,Початкова школа,
node/991575397,,school,Szkoła Podstawowa,Початкова школа,
node/1402677660,,school,Szkoła Podstawowa,Початкова школа,
node/1419192535,,school,Szkoła Podstawowa,Початкова школа,
node/1419192536,,school,Szkoła Podstawowa,Початкова школа,
node/1709547760,,school,Szkoła Podstawowa,Початкова школа,
node/1795584882,,school,Szkoła Podstawowa,Початкова школа,
node/1800067939,,school,Szkoła Podstawowa,Початкова школа,
node/1838794533,,school,Szkoła Podstawowa,Початкова школа,
node/1992149678,,school,Szkoła Podstawowa,Початкова школа,
node/2194535201,,school,Szkoła Podstawowa,Початкова школа,
node/2559357874,,school,Szkoła Podstawowa,Початкова школа,
node/2589880105,,school,Szkoła Podstawowa,Початкова школа,
node/2674539774,,school,Szkoła podstawowa,Початкова школа,
node/2983211000,,school,Szkoła Podstawowa,Початкова школа,
node/2992046464,,school,Szkoła Podstawowa,Початкова школа,
node/3005685564,,school,Szkoła Podstawowa,Початкова школа,
node/3072742571,,school,Szkoła Podstawowa,Початкова школа,
node/3074966133,,school,Szkoła Podstawowa,Початкова школа,
node/3827593275,,school,Szkoła Podstawowa,Початкова школа,
node/3981655001,,school,Szkoła Podstawowa,Початкова школа,
node/9270231865,,school,Szkoła Podstawowa,Початкова школа,
node/9533419166,,school,Szkoła Podstawowa,Початкова школа,
node/9533420770,,school,Szkoła Podstawowa,Початкова школа,
node/9543801257,,school,Szkoła Podstawowa,Початкова школа,
node/9533446626,,school,Szkoła Podstawowa,Початкова школа,
node/9543688952,,school,Szkoła Podstawowa,Початкова школа,
node/9543417100,,school,Szkoła Podstawowa,Початкова школа,
node/6925697350,,school,Szkoła Podstawowa,Початкова школа,
node/5287998319,,school,Szkoła Podstawowa,Початкова школа,
node/5662581106,Chotyłów,school,Szkoła Podstawowa,Початкова школа,
relation/13325561,,school,Szkoła Podstawowa,Початкова школа,
way/487721801,,school,Szkoła Podstawowa,Початкова школа,
way/428464292,,school,Szkoła Podstawowa,Початкова школа,
way/488463904,,school,Szkoła Podstawowa,Початкова школа,
way/428464291,,school,Szkoła Podstawowa,Початкова школа,
way/404715308,,school,Szkoła Podstawowa,Початкова школа,
