id,name,name:ru,name:uk,wikidata,uwagi
node/5532753601,PKS Więcbork,Автовокзал Венцборк,Автовокзал Венцборк,,
node/1039505953,PKS Włoszczowa,Автовокзал Влошчова,Автовокзал Влошчова,,
node/1901008184,PKS Żnin,Автовокзал Жнив,Автовокзал Жнів,,
node/1503106116,Pl. Piłsudskiego,Площадь Пилсудцкого,Площа Пилсудцькего,,
node/441313092,Pobierowo p.dw. 01,Поберово автобусная остановка,Поберово автобусна зупинка,,
node/462207135,"Polanica Zdrój, Dworzec PKS",Автовокзал Поланыця Здруй,Автовокзал Поляниця Здруй,,
node/1495243160,Przystanek Wizna skrz.,Остановка Визна,Зупинка Візна,,
node/362755591,Puławy BUS,Автовокзал Пулавы,Автовокзал Пулави,,
node/2979093161,Pyskowice Plac Wyszyńskiego,Пысковице Площадь Вышиньскего,Писковіце Площа Вишиньськего,,
node/938858309,"Rabka-Zdrój, ul. Jana Pawła II dworzec BUS",Автовокзал Рабка-Здруй ул. Яна Павла ІІ,Автовокзал Рабка-Здруй вул. Яна Павла ІІ,,
node/1873562382,Rudniki,Рудники,Руднікі,,
node/5626400958,Rybnik Dworzec Autobusowy,Автовокзал Рыбник,Автовокзал Рибнік,,
node/322653549,Sadyba,Садиба,Садиба,Q106806501,
node/1416484783,Sanok,Санок,Санок,,
node/1794799680,Sarbinowo,Сарбиново,Сарбіново,,
node/7278042785,SINDBAD,СИНДБАД,СИНДБАД,,
node/3117045719,Skarżysko-Kamienna D.K.,Железнодорожный вокзал Скаржиско-Каменна,Залізничний вокзал Скаржиско Камєнна,,
node/2436454659,Skawina,Скавина,Скавіна,,
node/1765197129,Skibińskiego,Скибиньскего,Скібіньськего,,
node/6587219756,Skoczów D.A,Автовокзал Скочув,Автовокзал Скочув,,
node/2584444451,Skrzynno - Kolonia Karpaty,Скжино-Колония Карпаты,Скжино-Колонія Карпати,,
node/2587338695,Skrzynno Szkoła,Школа Скжино,Школа Скжино,,
node/7137780124,Słońsk,Слоньск,Слоньськ,,
node/8003844414,Słubice Polskie Port Świecko,Слубице-Польске Порт Свецко,Слубіце-Польське Порт Свєцько,,
node/4601943290,Słubice Polskie Ulica Konstytucji 3 Maja d.a.,Автовокзал Слубице Польске ул. Конституции 3 Мая,Автовокзал Слубіце-Польське вул. Конституції 3 Мая,,
node/705812984,Sobótka,Собувка,Собувка,,
node/523434670,Sokołów Małopolski,Соколув Малопольський,Соколув Малопольський,,
node/3671972535,Sosnowiec Urząd Miasta,Сосновец Мэрия Города,Сосновец Мерія Міста,,
node/1069669832,Środa Wielkopolska,Сьрода-Велькопольска,Сьрода-Великопольська,,
node/4743669158,Stacja Diagnostyczna PKS Radom,Диагностическая станция Автовокзал Радом,Діагностична станція Автовокзал Радом,,
node/2173831771,Starachowice,Стараховице,Стараховіце,,
node/254021609,Stegny,Стегны,Стегни,,
node/1889017884,Strzegom,Стчегом,Стчегом,,
node/4785659288,Szczawnica Dworzec Autobusowy,Автовокзал Щчавница,Автовокзал Щчавніца,,
node/1420909836,Szczebrzeszyn,Щебжешин,Щебжешин,,
node/1341299324,Szczytno,Щитно,Щитно,,
node/1408806524,Szemrowice,Щемровице,Щемровіце,,
node/2800856631,Szydłowiec D.A.,Шидловец Автовокзал,Шидловець Автовокзал,,
node/306064492,Terespol,Тересполь,Тереспіль,,
node/3918859821,Trzebiel,Тшебель,Тшебель,,
node/3713620030,Tworzeń Huta Katowice,Твожень Хута Катовице,Твожень Хута Катовиці,,
node/8220863755,Ustka - węzeł komunikacyjny,Устка - транспортный узел,Устка - транспортний вузол,,
node/1787219432,Wałcz Dworzec PKS,Валч Автовокзал,Валч Автовокзал,,
node/4262360089,"Warszawa, Plac Defilad","Варшава, Площадь Дефилад","Варшава, Площа Дефіляд",,
node/7554192210,Węgierska Górka Centrum,Венгерская Гурка Центр,Венґерська-Ґурка Центр,,
node/5496118470,Wieliczka Rynek-Kopalnia,Величка Площадь Рынок-Шахта,Величка Площа Ринок-Шахта,,
node/2174827381,Wierzbnik - Dworzec,Вежбник - Вокзал,Вежбник - Вокзал,,
node/248994740,Wilanów,Вилянув,Вілянув,,
node/307681172,Witolin petla autobusowa,Витолин автобусная петля,Витолин автобусна петля,,
node/597327768,"Władysławowo, dworzec autobusowy","Владыславово, автовокзал","Владиславово, автовокзал",,
node/8659373121,Włocławek (na czas remontu),Влоцлавек (на время ремонта),Влоцлавек (на час ремонту),,
node/5769804449,Włodawa - Dworzec PKS,Влодава - Автовокзал,Володава - Автовокзал,,
node/5769804452,Włodawa - Dworzec PKS,Влодава - Автовокзал,Володава - Автовокзал,,
node/1669935326,Wodzisław Dworzec Autobusowy,Водзислав Автовокзал,Водзіслав Автовокзал,,
node/430774454,Wronki PKS PKP / Szkoła Podstawowa Nr3,Вронки Авто/ЖД Вокзал / Начальная Школа №3,Вронки Авто/ЖД Вокзал / Початкова Школа №3,,
node/1562398325,Zajezdnia Autobusowa PKA,Автопарк Предприятия Автобусной Связи,Автопарк Підприємства Автобусного Зв'язку,,
node/1446241849,Zduńska Wola Dworzec PKP - pętla MPK,Здуньска-Воля Железнодорожный Вокзал - петля городского транспорта,Здунська Воля Залічний Вокзал - петля міського транспорту,,
node/5683650147,Złotniki Lubańskie,Злотники-Любанские,Злотники-Любанські,,
node/1543380780,Złotokłos,Злотоклос,Злотоклос,,
node/700872245,Złoty Stok,Злоты-Сток,Злотий Сток,,
node/4362795015,Zwierzyniec,Звежинец,Звежинець,,
